concentration_wt,15.0,17.0,20.0,22.0,25.0,27.0,30.0
20,3.0,3.0,3.0,3.0,3.0,3.0,3.0
30,4.0,4.0,4.0,4.0,4.0,3.0,4.0
40,2.0,2.0,1.0,2.0,2.0,2.0,2.0
50,3.0,3.0,3.0,3.0,3.0,3.0,3.0
60,2.0,3.0,3.0,3.0,4.0,3.0,3.0
70,3.0,3.0,4.0,7.0,6.0,4.0,7.0
80,3.0,3.0,4.0,3.0,3.0,3.0,
