drive_frequency_hz,subharmonic_frequency_hz,rect_m,rect_n,k_rad_per_m,rect_k_rad_per_m,radial_delta_k_rad_per_m,radial_error_percent,component_distance_rad_per_m,component_error_percent,k_half_bin_error_rad_per_m,fourier_dkx_rad_per_m,fourier_dky_rad_per_m,abs_delta_k_rad_per_m,abs_error_percent
15.000000000000028,7.500000000000014,4.0,5.0,201.6576015530823,201.1600806434178,0.4975209096644732,0.2473258650887067,3.8679646403997543,1.9228291358941243,73.60485573458271,122.95280967405392,159.83865257627005,0.4975209096644732,0.2473258650887067
15.000000000000028,7.500000000000014,4.0,5.0,201.6576015530823,201.1600806434178,0.4975209096644732,0.2473258650887067,3.8679646403997543,1.9228291358941243,73.60485573458271,122.95280967405392,159.83865257627005,0.4975209096644732,0.2473258650887067
20.07499999999988,10.03749999999994,8.0,5.0,293.2882003838103,296.37725818573745,-3.08905780192714,-1.0422722110450358,6.083422512454693,2.0525942340158423,67.48245913335155,122.95280967405392,159.83865257627005,3.08905780192714,1.0422722110450358
20.09999999999988,10.04999999999994,8.0,5.0,293.2882003838103,296.37725818573745,-3.08905780192714,-1.0422722110450358,6.083422512454693,2.0525942340158423,67.48245913335155,122.95280967405392,159.83865257627005,3.08905780192714,1.0422722110450358
25.049999999999883,12.524999999999942,4.0,10.0,342.50689458218847,338.359883929281,4.147010652907454,1.2256212541360845,6.14798526607485,1.8169959141373304,77.78848507255081,122.95280967405392,159.83865257627005,4.147010652907454,1.2256212541360845
25.049999999999883,12.524999999999942,4.0,10.0,342.50689458218847,338.359883929281,4.147010652907454,1.2256212541360845,6.14798526607485,1.8169959141373304,77.78848507255081,122.95280967405392,159.83865257627005,4.147010652907454,1.2256212541360845
30.049999999999883,15.024999999999942,8.0,10.0,403.3152031061646,402.3201612868356,0.9950418193289464,0.2473258650887067,7.735929280799509,1.9228291358941243,73.60485573458271,122.95280967405392,159.83865257627005,0.9950418193289464,0.2473258650887067
30.07499999999988,15.03749999999994,8.0,10.0,403.3152031061646,402.3201612868356,0.9950418193289464,0.2473258650887067,7.735929280799509,1.9228291358941243,73.60485573458271,122.95280967405392,159.83865257627005,0.9950418193289464,0.2473258650887067
35.04999999999988,17.52499999999994,16.0,0.0,491.8112386962157,502.6548245743669,-10.84358587815126,-2.1572628666865548,10.84358587815126,2.1572628666865548,61.476404837026955,122.95280967405392,159.83865257627005,10.84358587815126,2.1572628666865548
35.07499999999988,17.53749999999994,12.0,10.0,488.10871749056827,490.7324600906082,-2.623742600039862,-0.5346584571877347,9.827990648158652,2.0027186802242563,69.98500676730194,122.95280967405392,159.83865257627005,2.623742600039862,0.5346584571877347
37.07499999999988,18.53749999999994,16.0,5.0,517.1331447173964,526.6268922782152,-9.49374756081886,-1.8027464415553136,11.18908153011996,2.124669608442405,63.470289873905664,122.95280967405392,159.83865257627005,9.49374756081886,1.8027464415553136
37.07499999999988,18.53749999999994,16.0,5.0,517.1331447173964,526.6268922782152,-9.49374756081886,-1.8027464415553136,11.18908153011996,2.124669608442405,63.470289873905664,122.95280967405392,159.83865257627005,9.49374756081886,1.8027464415553136
40.07499999999988,20.03749999999994,8.0,15.0,538.8925007304839,534.0707511102647,4.82174962021918,0.9028297487168844,9.894723633921402,1.8526990316079917,76.4467147791223,122.95280967405392,159.83865257627005,4.82174962021918,0.9028297487168844
40.199999999999875,20.099999999999937,16.0,5.0,517.1331447173964,526.6268922782152,-9.49374756081886,-1.8027464415553136,11.18908153011996,2.124669608442405,63.470289873905664,122.95280967405392,159.83865257627005,9.49374756081886,1.8027464415553136
40.24999999999987,20.124999999999936,8.0,15.0,538.8925007304839,534.0707511102647,4.82174962021918,0.9028297487168844,9.894723633921402,1.8526990316079917,76.4467147791223,122.95280967405392,159.83865257627005,4.82174962021918,0.9028297487168844
42.17499999999987,21.087499999999935,4.0,18.0,651.0696668752931,579.2810627295166,71.7886041457765,12.392706885240734,73.91765983153763,12.760241027601475,79.3353491926232,122.95280967405392,159.83865257627005,71.7886041457765,12.392706885240734
45.024999999999885,22.512499999999942,12.0,15.0,604.9728046592469,603.4802419302534,1.4925627289934482,0.2473258650887115,11.603893921199274,1.922829135894126,73.60485573458271,122.95280967405392,159.83865257627005,1.4925627289934482,0.2473258650887115
45.17499999999987,22.587499999999935,18.0,0.0,614.7640483702696,565.4866776461628,49.277370724106845,8.714152370348282,49.277370724106845,8.714152370348282,61.476404837026955,122.95280967405392,159.83865257627005,49.277370724106845,8.714152370348282
47.22499999999987,23.612499999999937,4.0,18.0,651.0696668752931,579.2810627295166,71.7886041457765,12.392706885240734,73.91765983153763,12.760241027601475,79.3353491926232,122.95280967405392,159.83865257627005,71.7886041457765,12.392706885240734
50.27499999999987,25.137499999999935,4.0,18.0,651.0696668752931,579.2810627295166,71.7886041457765,12.392706885240734,73.91765983153763,12.760241027601475,79.3353491926232,122.95280967405392,159.83865257627005,71.7886041457765,12.392706885240734
