run_id,img,summary_path,drive_frequency_hz,subharmonic_frequency_hz,mode_rank,kx_rad_per_m,ky_rad_per_m,k_rad_per_m,kx_abs_rad_per_m,ky_abs_rad_per_m,wavelength_mm,angle_deg,power,dispersion_theory_k_rad_per_m,dispersion_theory_lambda_mm,rect_m,rect_n,rect_kx_rad_per_m,rect_ky_rad_per_m,rect_k_rad_per_m,rect_lambda_mm,delta_kx_rad_per_m,delta_ky_rad_per_m,component_distance_rad_per_m,radial_delta_k_rad_per_m,radial_error_percent,component_error_percent,fourier_dkx_rad_per_m,fourier_dky_rad_per_m,k_half_bin_error_rad_per_m,selected_grid_iy,selected_grid_ix,grid_peak_kx_rad_per_m,grid_peak_ky_rad_per_m,subbin_kx_rad_per_m,subbin_ky_rad_per_m,subbin_k_rad_per_m,subbin_wavelength_mm,subbin_fit_center_error_rad_per_m,peak_width_sigma_rad_per_m,local_peak_fit_method,local_peak_effective_points,local_peak_window_points,local_peak_power
jun8_40wt_15Hz_stable_IMG_0040_full_fsss_no_lens_roi734_500_no_affine,40,outputs/full_fsss_diagnostics/Jun8_40wt_15Hz_stable_IMG_0040_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,15.000000000000028,7.500000000000014,4,-122.95280967405392,-159.83865257627005,201.6576015530823,122.95280967405392,159.83865257627005,31.157691348052975,-127.56859202882752,0.0263751989009474,205.7373220218501,30.53984199576724,4.0,5.0,125.66370614359172,157.07963267948963,201.1600806434178,31.234752377721215,-2.710896469537815,2.7590198967804156,3.8679646403997543,0.4975209096644732,0.2473258650887067,1.9228291358941243,122.95280969222206,159.83865259988866,73.60485573458271,19.0,25.0,-122.95280969222206,-159.83865259988866,-160.89933065607173,-175.56890596371113,238.14498807841065,26.3838653833471,37.08286741774457,106.89363490236468,quadratic,4.475039679957474,9.0,0.026216172385783533
jun8_40wt_15Hz_stable_IMG_0041_full_fsss_no_lens_roi734_500_no_affine,41,outputs/full_fsss_diagnostics/Jun8_40wt_15Hz_stable_IMG_0041_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,15.000000000000028,7.500000000000014,5,-122.95280967405392,-159.83865257627005,201.6576015530823,122.95280967405392,159.83865257627005,31.157691348052975,-127.56859202882752,0.0327100182223931,205.7373220218501,30.53984199576724,4.0,5.0,125.66370614359172,157.07963267948963,201.1600806434178,31.234752377721215,-2.710896469537815,2.7590198967804156,3.8679646403997543,0.4975209096644732,0.2473258650887067,1.9228291358941243,122.95280969222206,159.83865259988866,73.60485573458271,19.0,25.0,-122.95280969222206,-159.83865259988866,-171.51203392260072,-167.59724899351178,239.80245130202596,26.201505752191213,34.80818343558424,100.33119741162018,quadratic,3.793656128393683,9.0,0.03217602041819413
jun8_40wt_20Hz_stable_IMG_0037_full_fsss_no_lens_roi734_500_no_affine,37,outputs/full_fsss_diagnostics/Jun8_40wt_20Hz_stable_IMG_0037_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,20.07499999999988,10.03749999999994,1,245.90561934810785,-159.83865257627005,293.2882003838103,245.90561934810785,159.83865257627005,21.4232461413624,-33.02386755579664,0.0180323264014296,282.6946473844341,22.22604978662767,8.0,5.0,251.32741228718345,157.07963267948963,296.37725818573745,21.1999576001272,-5.42179293907563,2.7590198967804156,6.083422512454693,-3.08905780192714,-1.0422722110450358,2.0525942340158423,122.95280969222206,159.83865259988866,67.48245913335155,19.0,28.0,245.90561938444412,-159.83865259988866,253.6985214560533,-122.2082149936956,281.5986285494531,22.312556490580214,1.4340495295112012,61.68642272863105,quadratic,3.66392645052678,9.0,0.01785583099698434
jun8_40wt_20Hz_stable_IMG_0038_full_fsss_no_lens_roi734_500_no_affine,38,outputs/full_fsss_diagnostics/Jun8_40wt_20Hz_stable_IMG_0038_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,20.09999999999988,10.04999999999994,1,-245.90561934810785,-159.83865257627005,293.2882003838103,245.90561934810785,159.83865257627005,21.4232461413624,-146.97613244420336,0.0182640298582128,283.0699888782091,22.196578775727893,8.0,5.0,251.32741228718345,157.07963267948963,296.37725818573745,21.1999576001272,-5.42179293907563,2.7590198967804156,6.083422512454693,-3.08905780192714,-1.0422722110450358,2.0525942340158423,122.95280969222206,159.83865259988866,67.48245913335155,19.0,24.0,-245.90561938444412,-159.83865259988866,-236.59600696137773,-85.79265629703774,251.67051949835115,24.965917023987195,5.321023230024317,70.56753544679566,quadratic,4.1471723070524265,9.0,0.018253276650854206
jun8_40wt_25Hz_stable_IMG_0035_full_fsss_no_lens_roi734_500_no_affine,35,outputs/full_fsss_diagnostics/Jun8_40wt_25Hz_stable_IMG_0035_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,25.049999999999883,12.524999999999942,5,122.95280967405392,319.6773051525401,342.50689458218847,122.95280967405392,319.6773051525401,18.34469730848546,68.96248897457819,0.005565426960608,355.58416013038186,17.67003711547706,4.0,10.0,125.66370614359172,314.15926535897927,338.359883929281,18.56953381770519,-2.710896469537815,5.518039793560831,6.14798526607485,4.147010652907454,1.2256212541360845,1.8169959141373304,122.95280969222206,159.83865259988866,77.78848507255081,22.0,27.0,122.95280969222206,319.6773051997773,122.95280969222206,319.6773051997773,342.5068946327991,18.344697305774748,34.00742762256925,73.90032271770299,grid_center_fallback,4.722207917255569,9.0,0.005019020885864836
jun8_40wt_25Hz_stable_IMG_0036_full_fsss_no_lens_roi734_500_no_affine,36,outputs/full_fsss_diagnostics/Jun8_40wt_25Hz_stable_IMG_0036_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,25.049999999999883,12.524999999999942,4,122.95280967405392,319.6773051525401,342.50689458218847,122.95280967405392,319.6773051525401,18.34469730848546,68.96248897457819,0.0056968433419707,355.58416013038186,17.67003711547706,4.0,10.0,125.66370614359172,314.15926535897927,338.359883929281,18.56953381770519,-2.710896469537815,5.518039793560831,6.14798526607485,4.147010652907454,1.2256212541360845,1.8169959141373304,122.95280969222206,159.83865259988866,77.78848507255081,22.0,27.0,122.95280969222206,319.6773051997773,122.95280969222206,319.6773051997773,342.5068946327991,18.344697305774748,45.957821773224204,95.6165095284218,grid_center_fallback,4.328594450920243,9.0,0.005428585021519666
jun8_40wt_30Hz_stable_IMG_0033_full_fsss_no_lens_roi734_500_no_affine,33,outputs/full_fsss_diagnostics/Jun8_40wt_30Hz_stable_IMG_0033_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,30.049999999999883,15.024999999999942,2,245.90561934810785,-319.6773051525401,403.3152031061646,245.90561934810785,319.6773051525401,15.578845674026487,-52.431407971172504,0.0008241696617343,424.42911388257346,14.803850870885242,8.0,10.0,251.32741228718345,314.15926535897927,402.3201612868356,15.617376188860607,-5.42179293907563,5.518039793560831,7.735929280799509,0.9950418193289464,0.2473258650887067,1.9228291358941243,122.95280969222206,159.83865259988866,73.60485573458271,18.0,28.0,245.90561938444412,-319.6773051997773,245.90561938444412,-319.6773051997773,403.3152031657605,15.578845671724478,53.269377093574604,116.56962867171703,grid_center_fallback,4.788677493873535,9.0,0.0007951583641216054
jun8_40wt_30Hz_stable_IMG_0034_full_fsss_no_lens_roi734_500_no_affine,34,outputs/full_fsss_diagnostics/Jun8_40wt_30Hz_stable_IMG_0034_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,30.07499999999988,15.03749999999994,1,-245.90561934810785,319.6773051525401,403.3152031061646,245.90561934810785,319.6773051525401,15.578845674026487,127.56859202882752,0.0023938102807302,424.7618148626593,14.792255535519748,8.0,10.0,251.32741228718345,314.15926535897927,402.3201612868356,15.617376188860607,-5.42179293907563,5.518039793560831,7.735929280799509,0.9950418193289464,0.2473258650887067,1.9228291358941243,122.95280969222206,159.83865259988866,73.60485573458271,22.0,24.0,-245.90561938444412,319.6773051997773,-233.73372872390055,309.6196071297591,387.9378262845276,16.196371896385457,3.427614726392627,69.13273453441599,quadratic,5.863360880605216,9.0,0.00235059661358794
jun8_40wt_35Hz_stable_IMG_0032_full_fsss_no_lens_roi734_500_no_affine,32,outputs/full_fsss_diagnostics/Jun8_40wt_35Hz_stable_IMG_0032_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,35.04999999999988,17.52499999999994,5,-491.8112386962157,0.0,491.8112386962157,491.8112386962157,0.0,12.775603346999995,180.0,0.0012176854811551,488.83307453719783,12.85343736842722,16.0,0.0,502.6548245743669,0.0,502.6548245743669,12.5,-10.84358587815126,0.0,10.84358587815126,-10.84358587815126,-2.1572628666865548,2.1572628666865548,122.95280969222206,159.83865259988866,61.476404837026955,20.0,22.0,-491.81123876888824,0.0,-456.2345918727392,34.326441461035834,457.5241058181119,13.733014779504227,13.229012622985897,64.7576496207449,quadratic,3.5478021963095316,9.0,0.0011124153214735351
jun8_40wt_35Hz_stable_IMG_0031_full_fsss_no_lens_roi734_500_no_affine,31,outputs/full_fsss_diagnostics/Jun8_40wt_35Hz_stable_IMG_0031_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,35.07499999999988,17.53749999999994,3,-368.8584290221617,319.6773051525401,488.10871749056827,368.8584290221617,319.6773051525401,12.8725119671746,139.08561677997488,0.0004211722027921,489.14481289848254,12.845245705352298,12.0,10.0,376.99111843077515,314.15926535897927,490.7324600906082,12.803687993289598,-8.13268940861343,5.518039793560831,9.827990648158652,-2.623742600039862,-0.5346584571877347,2.0027186802242563,122.95280969222206,159.83865259988866,69.98500676730194,22.0,23.0,-368.85842907666614,319.6773051997773,-368.85842907666614,319.6773051997773,488.10871756269376,12.872511965272492,43.1578242298268,94.99071693385322,grid_center_fallback,4.844436271286851,9.0,0.0004531092405703557
