run_id,summary_path,drive_frequency_hz,expected_subharmonic_hz,selected_frequency_hz,mode_source,mode_rank,q_cycles_per_m,k_rad_per_m,wavelength_mm,angle_deg,power,theory_q_cycles_per_m,theory_k_rad_per_m,theory_wavelength_mm,wavelength_error_percent,dispersion_predicted_frequency_hz,dispersion_frequency_error_percent,liquid_depth_m,density_kg_m3,surface_tension_N_per_m,frames,timebase_fps_mean,fourier_dkx_rad_per_m,fourier_dky_rad_per_m,kx_abs_rad_per_m,ky_abs_rad_per_m,k_half_bin_error_rad_per_m
jun8_40wt_15Hz_stable_IMG_0040_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_15Hz_stable_IMG_0040_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,15.000000000000028,7.500000000000014,7.469999999999951,selected_2d_mode_closest_to_theory,4,32.09480409922892,201.6576015530823,31.157691348052975,-127.56859202882752,0.0263751989009474,32.59949602960443,204.8286744746698,30.67532084213433,1.572503539249327,7.365224340674322,-1.7970087910092252,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405404,159.83865257627,73.60485574545896
jun8_40wt_15Hz_stable_IMG_0041_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_15Hz_stable_IMG_0041_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,15.000000000000028,7.500000000000014,7.469999999999951,selected_2d_mode_closest_to_theory,5,32.09480409922892,201.6576015530823,31.157691348052975,-127.56859202882752,0.0327100182223931,32.59949602960443,204.8286744746698,30.67532084213433,1.572503539249327,7.365224340674322,-1.7970087910092252,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405404,159.83865257627,73.60485574545896
jun8_40wt_20Hz_stable_IMG_0037_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_20Hz_stable_IMG_0037_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,20.07499999999988,10.03749999999994,10.002499999999875,selected_2d_mode_closest_to_theory,1,46.67826684160973,293.2882003838103,21.4232461413624,-33.02386755579664,0.0180323264014296,44.824925450942246,281.6433129887806,22.309016466618115,-3.970458879624436,10.391263907929652,3.5244224949411,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,245.90561934810782,159.83865257627005,67.48245914332313
jun8_40wt_20Hz_stable_IMG_0038_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_20Hz_stable_IMG_0038_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,20.09999999999988,10.04999999999994,10.009999999999875,selected_2d_mode_closest_to_theory,1,46.67826684160973,293.2882003838103,21.4232461413624,-146.97613244420336,0.0182640298582128,44.860788244328546,281.86864556525984,22.29118210214292,-3.89362913462128,10.391263907929652,3.3956607754200356,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,245.90561934810782,159.8386525762701,67.48245914332313
jun8_40wt_25Hz_stable_IMG_0035_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_25Hz_stable_IMG_0035_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,25.049999999999883,12.524999999999942,12.4550000000004,selected_2d_mode_closest_to_theory,5,54.511665315810006,342.50689458218847,18.34469730848546,68.96248897457819,0.005565426960608,56.27559249884633,353.589975941577,17.769692962726253,3.235871024701092,12.068206584492778,-3.647053217622085,0.0063746582511135,1098.0980060480797,0.06935,500,239.85575968663971,122.95280969222206,159.83865259988866,122.95280967405387,319.6773051525401,77.78848508404525
jun8_40wt_25Hz_stable_IMG_0036_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_25Hz_stable_IMG_0036_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,25.049999999999883,12.524999999999942,12.475000000000405,selected_2d_mode_closest_to_theory,4,54.511665315810006,342.50689458218847,18.34469730848546,68.96248897457819,0.0056968433419707,56.366331779700566,354.16010765782437,17.741087071416167,3.402329488827153,12.068206584492778,-3.647053217622085,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405387,319.6773051525401,77.78848508404525
jun8_40wt_30Hz_stable_IMG_0033_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_30Hz_stable_IMG_0033_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,30.049999999999883,15.024999999999942,15.065000000000415,selected_2d_mode_closest_to_theory,2,64.18960819845783,403.3152031061646,15.578845674026487,-52.431407971172504,0.0008241696617343,67.71937199001685,425.49336309910274,14.766823297584914,5.498964537446442,14.240233023383023,-5.223074719580163,0.0063746582511135,1098.0980060480797,0.06935,496,238.41059602649008,122.95280969222206,159.83865259988866,245.90561934810785,319.67730515254016,73.60485574545898
jun8_40wt_30Hz_stable_IMG_0034_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_30Hz_stable_IMG_0034_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,30.07499999999988,15.03749999999994,14.9725000000004,selected_2d_mode_closest_to_theory,1,64.18960819845783,403.3152031061646,15.578845674026487,127.56859202882752,0.0023938102807302,67.32740249228021,423.0305461100613,14.852793409260968,4.888321306029982,14.240233023383023,-5.30185853111833,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,245.90561934810808,319.67730515254,73.60485574545896
jun8_40wt_35Hz_stable_IMG_0032_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_35Hz_stable_IMG_0032_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,35.04999999999988,17.52499999999994,17.435000000000397,selected_2d_mode_closest_to_theory,5,78.27418970665076,491.8112386962157,12.775603346999995,180.0,0.0012176854811551,77.4425175904513,486.5856886753203,12.912803342582713,-1.06251130713243,17.644576581480198,0.6823200084465432,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,491.8112386962157,6.022950592540154e-14,61.47640484611103
jun8_40wt_35Hz_stable_IMG_0031_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_35Hz_stable_IMG_0031_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,35.07499999999988,17.53749999999994,17.492500000000405,selected_2d_mode_closest_to_theory,3,77.68491515486942,488.10871749056827,12.8725119671746,139.08561677997488,0.0004211722027921,77.671129621739,488.0221004313516,12.874796657007996,-0.0177454440195249,17.495969946039402,-0.2368071501670086,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,368.8584290221618,319.67730515254004,69.98500677764329
