Runs;drive_frequency_hz;subharmonic_frequency_hz;mode_rank;kx_rad_per_m;ky_rad_per_m;k_rad_per_m;kx_abs_rad_per_m;ky_abs_rad_per_m;wavelength_mm;angle_deg;power;dispersion_theory_k_rad_per_m;dispersion_theory_lambda_mm;rect_m;rect_n;rect_kx_rad_per_m;rect_ky_rad_per_m;rect_k_rad_per_m;rect_lambda_mm;delta_kx_rad_per_m;delta_ky_rad_per_m;component_distance_rad_per_m;radial_delta_k_rad_per_m;radial_error_percent;component_error_percent;radial_error_percent;component_error_percent
;15.000000000000028;7.500000000000014;4;-122.95280967405391;-159.83865257627005;201.6576015530823;122.95280967405391;159.83865257627005;31.157691348052975;-127.56859202882751;0.02637519890094748;205.7373220218501;30.53984199576724;4.0;5.0;125.66370614359172;157.07963267948963;201.1600806434178;31.234752377721218;-2.710896469537815;2.7590198967804156;3.8679646403997547;0.49752090966447327;0.24732586508870677;1.9228291358941245;0.24732586508870677;1.9228291358941245
;15.000000000000028;7.500000000000014;5;-122.95280967405391;-159.83865257627005;201.6576015530823;122.95280967405391;159.83865257627005;31.157691348052975;-127.56859202882751;0.03271001822239312;205.7373220218501;30.53984199576724;4.0;5.0;125.66370614359172;157.07963267948963;201.1600806434178;31.234752377721218;-2.710896469537815;2.7590198967804156;3.8679646403997547;0.49752090966447327;0.24732586508870677;1.9228291358941245;0.24732586508870677;1.9228291358941245
;20.074999999999882;10.037499999999941;1;245.90561934810782;-159.83865257627005;293.2882003838103;245.90561934810782;159.83865257627005;21.423246141362398;-33.02386755579664;0.01803232640142963;282.6946473844341;22.22604978662767;8.0;5.0;251.32741228718345;157.07963267948963;296.37725818573745;21.1999576001272;-5.42179293907563;2.7590198967804156;6.083422512454693;-3.08905780192714;-1.0422722110450358;2.0525942340158423;-1.0422722110450358;2.0525942340158423
;20.09999999999988;10.04999999999994;1;-245.90561934810782;-159.83865257627005;293.2882003838103;245.90561934810782;159.83865257627005;21.423246141362398;-146.97613244420336;0.018264029858212842;283.0699888782091;22.196578775727893;8.0;5.0;251.32741228718345;157.07963267948963;296.37725818573745;21.1999576001272;-5.42179293907563;2.7590198967804156;6.083422512454693;-3.08905780192714;-1.0422722110450358;2.0525942340158423;-1.0422722110450358;2.0525942340158423
;25.049999999999883;12.524999999999942;5;122.95280967405391;319.6773051525401;342.50689458218847;122.95280967405391;319.6773051525401;18.34469730848546;68.96248897457819;0.005565426960608056;355.58416013038186;17.67003711547706;4.0;10.0;125.66370614359172;314.15926535897927;338.359883929281;18.56953381770519;-2.710896469537815;5.518039793560831;6.14798526607485;4.147010652907454;1.2256212541360845;1.8169959141373304;1.2256212541360845;1.8169959141373304
;25.049999999999883;12.524999999999942;4;122.95280967405391;319.6773051525401;342.50689458218847;122.95280967405391;319.6773051525401;18.34469730848546;68.96248897457819;0.00569684334197071;355.58416013038186;17.67003711547706;4.0;10.0;125.66370614359172;314.15926535897927;338.359883929281;18.56953381770519;-2.710896469537815;5.518039793560831;6.14798526607485;4.147010652907454;1.2256212541360845;1.8169959141373304;1.2256212541360845;1.8169959141373304
;30.049999999999883;15.024999999999942;2;245.90561934810782;-319.6773051525401;403.3152031061646;245.90561934810782;319.6773051525401;15.578845674026487;-52.431407971172504;0.0008241696617343513;424.42911388257346;14.803850870885242;8.0;10.0;251.32741228718345;314.15926535897927;402.3201612868356;15.617376188860609;-5.42179293907563;5.518039793560831;7.7359292807995095;0.9950418193289465;0.24732586508870677;1.9228291358941245;0.24732586508870677;1.9228291358941245
;30.074999999999882;15.037499999999941;1;-245.90561934810782;319.6773051525401;403.3152031061646;245.90561934810782;319.6773051525401;15.578845674026487;127.56859202882751;0.002393810280730221;424.7618148626593;14.792255535519747;8.0;10.0;251.32741228718345;314.15926535897927;402.3201612868356;15.617376188860609;-5.42179293907563;5.518039793560831;7.7359292807995095;0.9950418193289465;0.24732586508870677;1.9228291358941245;0.24732586508870677;1.9228291358941245
;35.04999999999988;17.52499999999994;5;-491.81123869621564;0.0;491.81123869621564;491.81123869621564;0.0;12.775603346999995;180.0;0.0012176854811551355;488.83307453719783;12.853437368427219;16.0;0.0;502.6548245743669;0.0;502.6548245743669;12.5;-10.84358587815126;0.0;10.84358587815126;-10.84358587815126;-2.1572628666865548;2.1572628666865548;-2.1572628666865548;2.1572628666865548
;35.07499999999988;17.53749999999994;3;-368.8584290221617;319.6773051525401;488.10871749056827;368.8584290221617;319.6773051525401;12.8725119671746;139.08561677997488;0.0004211722027921336;489.14481289848254;12.845245705352298;12.0;10.0;376.99111843077515;314.15926535897927;490.73246009060813;12.803687993289598;-8.13268940861343;5.518039793560831;9.827990648158652;-2.6237426000398614;-0.5346584571877347;2.0027186802242563;-0.5346584571877347;2.0027186802242563
;37.07499999999988;18.53749999999994;2;-491.81123869621564;159.83865257627005;517.1331447173964;491.81123869621564;159.83865257627005;12.150034031590124;161.99583839408663;0.0029582903755413464;513.7765938982566;12.229411346877837;16.0;5.0;502.6548245743669;157.07963267948963;526.6268922782152;11.930999725437873;-10.84358587815126;2.7590198967804156;11.18908153011996;-9.49374756081886;-1.8027464415553136;2.124669608442405;-1.8027464415553136;2.124669608442405
;37.07499999999988;18.53749999999994;5;491.81123869621564;-159.83865257627005;517.1331447173964;491.81123869621564;159.83865257627005;12.150034031590124;-18.004161605913378;0.0015775645907270127;513.7765938982566;12.229411346877837;16.0;5.0;502.6548245743669;157.07963267948963;526.6268922782152;11.930999725437873;-10.84358587815126;2.7590198967804156;11.18908153011996;-9.49374756081886;-1.8027464415553136;2.124669608442405;-1.8027464415553136;2.124669608442405
;40.07499999999988;20.03749999999994;1;245.90561934810782;-479.5159577288102;538.8925007304839;245.90561934810782;479.5159577288102;11.659440980645586;-62.850318302216834;0.00223551553527922;549.6496732682931;11.43125451129425;8.0;15.0;251.32741228718345;471.2388980384689;534.0707511102647;11.764705882352942;-5.42179293907563;8.277059690341275;9.894723633921402;4.82174962021918;0.9028297487168843;1.8526990316079917;0.9028297487168843;1.8526990316079917
;40.199999999999875;20.099999999999937;4;491.81123869621564;159.83865257627005;517.1331447173964;491.81123869621564;159.83865257627005;12.150034031590124;18.004161605913378;0.0016937420558035088;551.1180379291498;11.400797786965803;16.0;5.0;502.6548245743669;157.07963267948963;526.6268922782152;11.930999725437873;-10.84358587815126;2.7590198967804156;11.18908153011996;-9.49374756081886;-1.8027464415553136;2.124669608442405;-1.8027464415553136;2.124669608442405
;40.24999999999987;20.124999999999936;1;245.90561934810782;479.5159577288102;538.8925007304839;245.90561934810782;479.5159577288102;11.659440980645586;62.850318302216834;0.0019514694271809301;551.7048154866329;11.388672222549813;8.0;15.0;251.32741228718345;471.2388980384689;534.0707511102647;11.764705882352942;-5.42179293907563;8.277059690341275;9.894723633921402;4.82174962021918;0.9028297487168843;1.8526990316079917;0.9028297487168843;1.8526990316079917
;42.174999999999876;21.087499999999938;5;-122.95280967405391;639.3546103050802;651.0696668752931;122.95280967405391;639.3546103050802;9.650557577555027;100.88552705465874;0.0003677585152511341;574.0548255856431;10.945270429125936;4.0;18.0;125.66370614359172;565.4866776461628;579.2810627295166;10.846522890932807;-2.710896469537815;73.86793265891743;73.91765983153763;71.7886041457765;12.392706885240734;12.760241027601477;12.392706885240734;12.760241027601477
;45.024999999999885;22.512499999999942;4;-368.8584290221617;479.5159577288102;604.9728046592469;368.8584290221617;479.5159577288102;10.385897116017658;127.56859202882751;0.0008868401637681191;606.3290600905507;10.362665622923037;12.0;15.0;376.99111843077515;471.2388980384689;603.4802419302534;10.411584125907073;-8.13268940861343;8.277059690341275;11.603893921199274;1.4925627289934482;0.2473258650887115;1.922829135894126;0.2473258650887115;1.922829135894126
;45.174999999999876;22.587499999999938;4;-614.7640483702696;0.0;614.7640483702696;614.7640483702696;0.0;10.220482677599996;180.0;0.0009616621911943973;608.0022466925338;10.334148173562566;18.0;0.0;565.4866776461628;0.0;565.4866776461628;11.11111111111111;49.277370724106845;0.0;49.277370724106845;49.277370724106845;8.714152370348282;8.714152370348282;8.714152370348282;8.714152370348282
