concentration_wt,nu_m2_s,mu_pa_s,depth_mm,rho_kg_m3,surface_tension_N_per_m
20,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712
30,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275
40,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935
50,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625
60,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679
70,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674
80,3.755547996427609e-05,0.0453504008884691,4.968707560928089,1207.5574837975128,0.0668384615384615
